Promotion_ID,Promotion_Code,Discount_Rate,Start_Date,End_Date,applicable_category,promo_channel,stackable_flag,min_order_value
1,PROMO-0001,12.0,2013-03-18,2013-04-17,All Categories,email,1,0
2,PROMO-0002,18.0,2013-06-23,2013-07-22,All Categories,online,0,0
3,PROMO-0003,10.0,2013-08-30,2013-10-02,All Categories,email,0,0
4,PROMO-0004,20.0,2013-11-18,2014-01-02,All Categories,all_channels,0,50000
5,PROMO-0005,50.0,2013-07-30,2013-09-02,Streetwear,online,0,150000
6,PROMO-0006,15.0,2013-01-31,2013-03-01,Outdoor,in_store,0,0
7,PROMO-0007,12.0,2014-03-18,2014-04-17,All Categories,email,1,0
8,PROMO-0008,18.0,2014-06-23,2014-07-22,All Categories,social_media,0,0
9,PROMO-0009,10.0,2014-08-30,2014-10-01,All Categories,all_channels,0,100000
10,PROMO-0010,20.0,2014-11-19,2015-01-02,All Categories,all_channels,0,100000
11,PROMO-0011,12.0,2015-03-18,2015-04-17,All Categories,all_channels,1,100000
12,PROMO-0012,18.0,2015-06-23,2015-07-22,All Categories,social_media,0,0
13,PROMO-0013,10.0,2015-08-30,2015-10-01,All Categories,email,1,0
14,PROMO-0014,20.0,2015-11-18,2016-01-02,All Categories,all_channels,1,150000
15,PROMO-0015,50.0,2015-07-30,2015-09-02,Streetwear,online,0,200000
16,PROMO-0016,15.0,2015-01-30,2015-03-01,Outdoor,in_store,0,0
17,PROMO-0017,12.0,2016-03-18,2016-04-17,All Categories,all_channels,0,0
18,PROMO-0018,18.0,2016-06-23,2016-07-22,All Categories,online,0,0
19,PROMO-0019,10.0,2016-08-30,2016-10-01,All Categories,online,0,0
20,PROMO-0020,20.0,2016-11-18,2017-01-02,All Categories,all_channels,0,0
21,PROMO-0021,12.0,2017-03-18,2017-04-17,All Categories,all_channels,0,0
22,PROMO-0022,18.0,2017-06-23,2017-07-22,All Categories,online,0,150000
23,PROMO-0023,10.0,2017-08-30,2017-10-02,All Categories,all_channels,1,0
24,PROMO-0024,20.0,2017-11-18,2018-01-02,All Categories,all_channels,0,0
25,PROMO-0025,50.0,2017-07-30,2017-09-02,Streetwear,online,0,150000
26,PROMO-0026,15.0,2017-01-30,2017-03-01,Outdoor,in_store,0,0
27,PROMO-0027,12.0,2018-03-18,2018-04-17,All Categories,all_channels,0,100000
28,PROMO-0028,18.0,2018-06-23,2018-07-22,All Categories,social_media,0,150000
29,PROMO-0029,10.0,2018-08-30,2018-10-01,All Categories,email,0,0
30,PROMO-0030,20.0,2018-11-18,2019-01-02,All Categories,all_channels,0,0
31,PROMO-0031,12.0,2019-03-18,2019-04-17,All Categories,online,1,150000
32,PROMO-0032,18.0,2019-06-23,2019-07-22,All Categories,social_media,0,0
33,PROMO-0033,10.0,2019-08-30,2019-10-01,All Categories,email,0,50000
34,PROMO-0034,20.0,2019-11-18,2020-01-02,All Categories,all_channels,0,50000
35,PROMO-0035,50.0,2019-07-30,2019-09-02,Streetwear,online,0,100000
36,PROMO-0036,15.0,2019-01-30,2019-03-01,Outdoor,in_store,1,150000
37,PROMO-0037,12.0,2020-03-18,2020-04-17,All Categories,online,0,0
38,PROMO-0038,18.0,2020-06-23,2020-07-22,All Categories,social_media,0,0
39,PROMO-0039,10.0,2020-08-30,2020-10-01,All Categories,all_channels,0,150000
40,PROMO-0040,20.0,2020-11-18,2021-01-01,All Categories,all_channels,0,0
41,PROMO-0041,12.0,2021-03-18,2021-04-17,All Categories,online,1,0
42,PROMO-0042,18.0,2021-06-23,2021-07-22,All Categories,social_media,1,0
43,PROMO-0043,10.0,2021-08-30,2021-10-02,All Categories,email,0,0
44,PROMO-0044,20.0,2021-11-18,2022-01-02,All Categories,all_channels,1,0
45,PROMO-0045,50.0,2021-07-30,2021-09-02,Streetwear,online,0,200000
46,PROMO-0046,15.0,2021-01-30,2021-03-01,Outdoor,in_store,0,0
47,PROMO-0047,12.0,2022-03-18,2022-04-17,All Categories,all_channels,1,0
48,PROMO-0048,18.0,2022-06-23,2022-07-22,All Categories,online,0,0
49,PROMO-0049,10.0,2022-08-31,2022-10-01,All Categories,all_channels,0,0
50,PROMO-0050,20.0,2022-11-18,2022-12-31,All Categories,all_channels,0,50000
