Geography_ID,City,State,Region,Country,Postal_Code
1,Bac Giang,District #03,East,Vietnam,501
2,Bac Giang,District #02,East,Vietnam,1005
3,Bac Giang,District #02,East,Vietnam,1014
4,Bac Giang,District #02,East,Vietnam,1028
5,Bac Giang,District #02,East,Vietnam,1068
6,Bac Giang,District #02,East,Vietnam,1080
7,Bac Giang,District #02,East,Vietnam,1199
8,Bac Giang,District #01,East,Vietnam,1229
9,Bac Giang,District #02,East,Vietnam,1469
10,Bac Giang,District #02,East,Vietnam,1475
11,Bac Giang,District #02,East,Vietnam,1504
12,Bac Giang,District #02,East,Vietnam,1537
13,Bac Giang,District #02,East,Vietnam,1546
14,Bac Giang,District #02,East,Vietnam,1580
15,Bac Giang,District #02,East,Vietnam,1602
16,Bac Giang,District #02,East,Vietnam,1613
17,Bac Giang,District #02,East,Vietnam,1740
18,Bac Giang,District #02,East,Vietnam,2019
19,Bac Giang,District #02,East,Vietnam,2051
20,Bac Giang,District #02,East,Vietnam,2067
21,Bac Giang,District #02,East,Vietnam,2305
22,Bac Giang,District #02,East,Vietnam,2327
23,Bac Giang,District #02,East,Vietnam,2382
24,Bac Giang,District #02,East,Vietnam,2534
25,Bac Giang,District #02,East,Vietnam,2557
26,Bac Giang,District #02,East,Vietnam,2659
27,Bac Giang,District #02,East,Vietnam,2664
28,Bac Giang,District #02,East,Vietnam,2702
29,Bac Giang,District #02,East,Vietnam,2713
30,Bac Giang,District #02,East,Vietnam,2746
31,Bac Giang,District #02,East,Vietnam,2760
32,Bac Giang,District #02,East,Vietnam,2801
33,Bac Giang,District #02,East,Vietnam,2812
34,Bac Giang,District #02,East,Vietnam,2828
35,Bac Giang,District #02,East,Vietnam,2830
36,Bac Giang,District #02,East,Vietnam,2871
37,Bac Giang,District #02,East,Vietnam,2874
38,Bac Giang,District #02,East,Vietnam,2895
39,Bac Giang,District #02,East,Vietnam,2903
40,Bac Giang,District #02,East,Vietnam,3608
41,Bac Giang,District #01,East,Vietnam,5255
42,Bac Giang,District #01,East,Vietnam,5735
43,Bac Giang,District #01,East,Vietnam,5765
44,Bac Giang,District #02,East,Vietnam,6022
45,Bac Giang,District #02,East,Vietnam,6129
46,Bac Giang,District #02,East,Vietnam,6237
47,Bac Giang,District #02,East,Vietnam,6260
48,Bac Giang,District #02,East,Vietnam,6334
49,Bac Giang,District #02,East,Vietnam,6357
50,Bac Giang,District #02,East,Vietnam,6375
51,Bac Giang,District #02,East,Vietnam,6401
52,Bac Giang,District #02,East,Vietnam,6451
53,Bac Giang,District #02,East,Vietnam,6456
54,Bac Giang,District #02,East,Vietnam,6493
55,Bac Giang,District #02,East,Vietnam,6502
56,Bac Giang,District #02,East,Vietnam,6509
57,Bac Giang,District #02,East,Vietnam,6601
58,Bac Giang,District #02,East,Vietnam,6702
59,Bac Giang,District #02,East,Vietnam,6754
60,Bac Giang,District #02,East,Vietnam,6757
61,Bac Giang,District #02,East,Vietnam,6762
62,Bac Giang,District #02,East,Vietnam,6763
63,Bac Giang,District #02,East,Vietnam,6783
64,Bac Giang,District #02,East,Vietnam,6787
65,Bac Giang,District #03,East,Vietnam,6906
66,Bac Giang,District #03,East,Vietnam,6922
67,Bac Giang,District #03,East,Vietnam,7010
68,Bac Giang,District #04,East,Vietnam,7050
69,Bac Giang,District #03,East,Vietnam,7054
70,Bac Giang,District #04,East,Vietnam,7065
71,Bac Giang,District #03,East,Vietnam,7071
72,Bac Giang,District #04,East,Vietnam,7092
73,Bac Giang,District #03,East,Vietnam,7094
