product_id,product_name,total_stock,total_received,total_sold,total_stockout_days
1,DragonWear MA-01,9,3,3,4
3,DragonWear MA-03,7577,885,767,84
4,DragonWear MA-04,1504,230,207,40
5,DragonWear MA-05,6,2,2,3
7,DragonWear MA-07,57,36,36,17
8,DragonWear MA-08,6561,753,670,106
9,DragonWear MA-09,2992,509,444,46
10,DragonWear MA-10,30,22,21,11
11,DragonWear MA-11,3,1,1,2
12,DragonWear MA-12,51,23,23,20
13,DragonWear MA-13,129,65,63,41
14,DragonWear MA-14,51,27,27,13
15,DragonWear MA-15,29,22,21,8
17,DragonWear MA-17,769,252,227,58
18,DragonWear MA-18,3,1,1,2
19,DragonWear MA-19,27,7,7,2
20,DragonWear MA-20,12,4,4,5
21,DragonWear MA-21,107,59,57,29
22,DragonWear MA-22,9,4,4,3
23,DragonWear MA-23,41,42,39,22
26,DragonWear MA-26,15727,1601,1382,98
27,DragonWear MA-27,135,28,28,13
28,DragonWear MA-28,54,13,13,6
29,DragonWear MA-29,45,12,12,5
30,DragonWear MA-30,6,2,2,2
31,DragonWear MA-31,947,215,188,28
35,DragonWear MA-35,3,1,1,2
36,DragonWear MA-36,3534,472,406,56
37,DragonWear MA-37,3,1,1,2
38,DragonWear MA-38,187,66,62,32
40,DragonWear MA-40,171,30,30,17
42,DragonWear MA-42,54,10,10,8
43,DragonWear MA-43,45,22,22,10
45,DragonWear MA-45,99,21,21,12
48,DragonWear RP-03,3,1,1,2
49,DragonWear RP-04,3,1,1,2
52,DragonWear RP-07,12,4,4,4
53,DragonWear RP-08,12,4,4,3
54,DragonWear RP-09,65,31,30,22
55,DragonWear RP-10,65,31,30,23
56,DragonWear RP-11,27,11,11,11
57,DragonWear RP-12,27,11,11,10
58,DragonWear RP-13,45,24,24,21
59,DragonWear RP-14,55,26,24,24
60,DragonWear RP-15,9,3,3,1
61,DragonWear RP-16,9,3,3,4
62,DragonWear RP-17,72,19,19,12
63,DragonWear RP-18,72,19,19,14
64,DragonWear RP-19,21,9,9,10
65,DragonWear RP-20,21,9,9,5
66,DragonWear RP-21,33,15,15,11
67,DragonWear RP-22,33,15,15,14
70,DragonWear RS-03,12,3,3,2
71,DragonWear RS-04,3,1,1,2
73,DragonWear RS-06,12,5,5,4
74,DragonWear UM-01,136,112,104,30
76,DragonWear UM-03,781,158,147,34
86,DragonWear UM-13,174,68,63,19
88,DragonWear UM-15,3,1,1,1
89,DragonWear UM-16,176,51,49,23
92,DragonWear UM-19,4028,660,579,70
93,DragonWear UM-20,9897,781,693,93
94,DragonWear UM-21,1017,258,229,61
99,DragonWear UM-26,3,1,1,1
100,DragonWear UM-27,98,33,31,13
103,DragonWear UM-30,9134,809,691,45
106,DragonWear UM-33,979,280,253,79
107,DragonWear UM-34,2655,322,287,63
108,DragonWear UM-35,322,129,117,37
109,DragonWear UM-36,526,303,261,45
111,DragonWear UM-38,3,1,1,0
114,DragonWear UM-41,36,36,36,22
115,DragonWear UM-42,19356,1362,1162,104
