order_id,product_id,quantity,unit_price,discount_amount,promo_id,promo_id_2,total_price,final_price,total_amount,final_amount
1,2400,7,1138.22,0.0,No Promotion,No Promotion,7967.54,7967.54,7967.54,7967.54
2,609,7,10166.25,0.0,No Promotion,No Promotion,71163.75,71163.75,71163.75,71163.75
3,396,3,11220.33,0.0,No Promotion,No Promotion,33660.99,33660.99,33660.99,33660.99
4,635,5,10639.25,0.0,No Promotion,No Promotion,53196.25,53196.25,53196.25,53196.25
6,1935,1,1597.84,0.0,No Promotion,No Promotion,1597.84,1597.84,1597.84,1597.84
7,1934,6,1633.49,0.0,No Promotion,No Promotion,9800.94,9800.94,9800.94,9800.94
8,1934,6,1602.92,0.0,No Promotion,No Promotion,9617.52,9617.52,9617.52,9617.52
8,1935,4,1642.51,0.0,No Promotion,No Promotion,6570.04,6570.04,6570.04,6570.04
9,1432,8,4049.64,0.0,No Promotion,No Promotion,32397.12,32397.12,32397.12,32397.12
10,1431,5,3977.37,0.0,No Promotion,No Promotion,19886.85,19886.85,19886.85,19886.85
13,604,6,6006.28,0.0,No Promotion,No Promotion,36037.68,36037.68,36037.68,36037.68
15,574,4,10833.53,0.0,No Promotion,No Promotion,43334.12,43334.12,43334.12,43334.12
16,1668,1,5074.15,0.0,No Promotion,No Promotion,5074.15,5074.15,5074.15,5074.15
17,2352,5,4407.64,0.0,No Promotion,No Promotion,22038.2,22038.2,22038.2,22038.2
18,676,3,9985.76,0.0,No Promotion,No Promotion,29957.28,29957.28,29957.28,29957.28
20,2240,8,1064.38,0.0,No Promotion,No Promotion,8515.04,8515.04,8515.04,8515.04
20,2241,4,1069.75,0.0,No Promotion,No Promotion,4279.0,4279.0,4279.0,4279.0
21,676,2,9758.83,0.0,No Promotion,No Promotion,19517.66,19517.66,19517.66,19517.66
22,36,7,5595.02,0.0,No Promotion,No Promotion,39165.14,39165.14,39165.14,39165.14
23,1041,5,12008.32,0.0,No Promotion,No Promotion,60041.6,60041.6,60041.6,60041.6
24,671,3,10863.52,0.0,No Promotion,No Promotion,32590.56,32590.56,32590.56,32590.56
25,174,3,8298.69,0.0,No Promotion,No Promotion,24896.07,24896.07,24896.07,24896.07
26,609,2,10196.64,0.0,No Promotion,No Promotion,20393.28,20393.28,20393.28,20393.28
28,396,4,11274.95,0.0,No Promotion,No Promotion,45099.8,45099.8,45099.8,45099.8
29,1484,2,950.75,0.0,No Promotion,No Promotion,1901.5,1901.5,1901.5,1901.5
30,1483,4,1027.59,0.0,No Promotion,No Promotion,4110.36,4110.36,4110.36,4110.36
31,2071,3,4175.51,0.0,No Promotion,No Promotion,12526.53,12526.53,12526.53,12526.53
32,1862,6,2599.04,0.0,No Promotion,No Promotion,15594.24,15594.24,15594.24,15594.24
33,600,8,9342.06,0.0,No Promotion,No Promotion,74736.48,74736.48,74736.48,74736.48
34,2380,6,3778.24,0.0,No Promotion,No Promotion,22669.44,22669.44,22669.44,22669.44
35,2359,2,5362.22,0.0,No Promotion,No Promotion,10724.44,10724.44,10724.44,10724.44
36,2277,1,3514.8,0.0,No Promotion,No Promotion,3514.8,3514.8,3514.8,3514.8
38,2400,3,1109.32,0.0,No Promotion,No Promotion,3327.96,3327.96,3327.96,3327.96
39,2359,2,5254.42,0.0,No Promotion,No Promotion,10508.84,10508.84,10508.84,10508.84
41,400,5,9736.68,0.0,No Promotion,No Promotion,48683.4,48683.4,48683.4,48683.4
42,1174,3,6841.28,0.0,No Promotion,No Promotion,20523.84,20523.84,20523.84,20523.84
43,1859,3,1893.3,0.0,No Promotion,No Promotion,5679.9,5679.9,5679.9,5679.9
44,4,4,9707.48,0.0,No Promotion,No Promotion,38829.92,38829.92,38829.92,38829.92
45,676,8,9885.26,0.0,No Promotion,No Promotion,79082.08,79082.08,79082.08,79082.08
46,606,3,4013.96,0.0,No Promotion,No Promotion,12041.88,12041.88,12041.880000000001,12041.880000000001
47,1449,6,1759.59,0.0,No Promotion,No Promotion,10557.54,10557.54,10557.539999999999,10557.539999999999
47,1450,3,1809.15,0.0,No Promotion,No Promotion,5427.450000000001,5427.450000000001,5427.450000000001,5427.450000000001
48,1934,1,1658.89,0.0,No Promotion,No Promotion,1658.89,1658.89,1658.89,1658.89
48,1935,3,1594.99,0.0,No Promotion,No Promotion,4784.97,4784.97,4784.97,4784.97
49,671,5,10790.22,0.0,No Promotion,No Promotion,53951.1,53951.1,53951.1,53951.1
50,475,2,12776.36,0.0,No Promotion,No Promotion,25552.72,25552.72,25552.72,25552.72
52,1477,2,4048.71,0.0,No Promotion,No Promotion,8097.42,8097.42,8097.42,8097.42
53,396,7,11541.12,0.0,No Promotion,No Promotion,80787.84000000001,80787.84000000001,80787.84000000001,80787.84000000001
56,2388,5,3641.21,0.0,No Promotion,No Promotion,18206.05,18206.05,18206.05,18206.05
58,187,3,9031.01,0.0,No Promotion,No Promotion,27093.03,27093.03,27093.03,27093.03
59,671,2,11173.11,0.0,No Promotion,No Promotion,22346.22,22346.22,22346.22,22346.22
60,604,1,6074.2,0.0,No Promotion,No Promotion,6074.2,6074.2,6074.2,6074.2
62,2254,3,718.3,0.0,No Promotion,No Promotion,2154.9,2154.9,2154.8999999999996,2154.8999999999996
63,400,5,9998.5,0.0,No Promotion,No Promotion,49992.5,49992.5,49992.5,49992.5
65,1184,2,7409.79,0.0,No Promotion,No Promotion,14819.58,14819.58,14819.58,14819.58
66,1298,8,4600.11,0.0,No Promotion,No Promotion,36800.88,36800.88,36800.88,36800.88
67,604,2,6208.65,0.0,No Promotion,No Promotion,12417.3,12417.3,12417.3,12417.3
68,2054,2,6898.11,0.0,No Promotion,No Promotion,13796.22,13796.22,13796.22,13796.22
70,2251,8,1553.9,0.0,No Promotion,No Promotion,12431.2,12431.2,12431.2,12431.2
71,2250,5,1508.79,0.0,No Promotion,No Promotion,7543.95,7543.95,7543.95,7543.95
72,1942,6,1459.17,0.0,No Promotion,No Promotion,8755.02,8755.02,8755.02,8755.02
72,1943,7,1485.99,0.0,No Promotion,No Promotion,10401.93,10401.93,10401.93,10401.93
74,467,3,11159.44,0.0,No Promotion,No Promotion,33478.32,33478.32,33478.32,33478.32
75,676,3,9702.2,0.0,No Promotion,No Promotion,29106.6,29106.6,29106.600000000002,29106.600000000002
76,475,7,12588.76,0.0,No Promotion,No Promotion,88121.32,88121.32,88121.32,88121.32
78,635,6,10513.77,0.0,No Promotion,No Promotion,63082.62,63082.62,63082.62,63082.62
79,2071,2,4126.27,0.0,No Promotion,No Promotion,8252.54,8252.54,8252.54,8252.54
80,1201,4,6818.49,0.0,No Promotion,No Promotion,27273.96,27273.96,27273.96,27273.96
81,604,7,6071.12,0.0,No Promotion,No Promotion,42497.84,42497.84,42497.84,42497.84
82,2400,5,1119.42,0.0,No Promotion,No Promotion,5597.1,5597.1,5597.1,5597.1
83,2053,4,4010.92,0.0,No Promotion,No Promotion,16043.68,16043.68,16043.68,16043.68
84,2064,8,6488.12,0.0,No Promotion,No Promotion,51904.96,51904.96,51904.96,51904.96
85,467,1,11000.4,0.0,No Promotion,No Promotion,11000.4,11000.4,11000.4,11000.4
86,676,1,9897.88,0.0,No Promotion,No Promotion,9897.88,9897.88,9897.88,9897.88
87,1975,7,687.32,0.0,No Promotion,No Promotion,4811.240000000001,4811.240000000001,4811.240000000001,4811.240000000001
88,1974,5,665.35,0.0,No Promotion,No Promotion,3326.75,3326.75,3326.75,3326.75
89,635,7,10516.05,0.0,No Promotion,No Promotion,73612.34999999999,73612.34999999999,73612.34999999999,73612.34999999999
90,2055,1,6747.15,0.0,No Promotion,No Promotion,6747.15,6747.15,6747.15,6747.15
91,565,7,10747.18,0.0,No Promotion,No Promotion,75230.26000000001,75230.26000000001,75230.26000000001,75230.26000000001
92,485,2,10045.12,0.0,No Promotion,No Promotion,20090.24,20090.24,20090.24,20090.24
93,485,3,9937.57,0.0,No Promotion,No Promotion,29812.71,29812.71,29812.71,29812.71
95,604,2,6007.14,0.0,No Promotion,No Promotion,12014.28,12014.28,12014.28,12014.28
96,671,7,11375.49,0.0,No Promotion,No Promotion,79628.43,79628.43,79628.43,79628.43
97,671,3,11461.15,0.0,No Promotion,No Promotion,34383.45,34383.45,34383.45,34383.45
99,2050,3,5881.22,0.0,No Promotion,No Promotion,17643.66,17643.66,17643.66,17643.66
100,2204,3,1789.19,0.0,No Promotion,No Promotion,5367.57,5367.57,5367.57,5367.57
100,2205,2,1814.1,0.0,No Promotion,No Promotion,3628.2,3628.2,3628.2,3628.2
101,596,1,9908.35,0.0,No Promotion,No Promotion,9908.35,9908.35,9908.35,9908.35
102,467,1,11012.4,0.0,No Promotion,No Promotion,11012.4,11012.4,11012.4,11012.4
104,400,1,9634.98,0.0,No Promotion,No Promotion,9634.98,9634.98,9634.98,9634.98
106,396,3,10870.75,0.0,No Promotion,No Promotion,32612.25,32612.25,32612.25,32612.25
107,574,3,10954.01,0.0,No Promotion,No Promotion,32862.03,32862.03,32862.03,32862.03
