Product_ID,Product_Name,Category,Price,Description,segment,size,color,cogs
536,SaigonFlex UC-01,Streetwear,11059.65,"SaigonFlex UC-01 - Streetwear (Màu: green, Size: S)",Everyday,S,green,9704.84
537,SaigonFlex UC-02,Streetwear,9523.08,"SaigonFlex UC-02 - Streetwear (Màu: silver, Size: M)",Everyday,M,silver,5393.87
538,SaigonFlex UC-03,Streetwear,15951.63,"SaigonFlex UC-03 - Streetwear (Màu: pink, Size: L)",Everyday,L,pink,11371.92
539,SaigonFlex UC-04,Streetwear,15753.72,"SaigonFlex UC-04 - Streetwear (Màu: yellow, Size: XL)",Everyday,XL,yellow,8573.17
540,SaigonFlex UC-05,Streetwear,15766.33,"SaigonFlex UC-05 - Streetwear (Màu: red, Size: S)",Everyday,S,red,14063.57
541,SaigonFlex UC-06,Streetwear,16095.85,"SaigonFlex UC-06 - Streetwear (Màu: black, Size: M)",Everyday,M,black,15291.06
542,SaigonFlex UC-07,Streetwear,9213.82,"SaigonFlex UC-07 - Streetwear (Màu: orange, Size: L)",Everyday,L,orange,6152.07
543,SaigonFlex UC-08,Streetwear,40.39,"SaigonFlex UC-08 - Streetwear (Màu: blue, Size: XL)",Everyday,XL,blue,22.49
544,SaigonFlex UC-09,Streetwear,11334.11,"SaigonFlex UC-09 - Streetwear (Màu: white, Size: S)",Everyday,S,white,8528.92
545,SaigonFlex UC-10,Streetwear,10045.68,"SaigonFlex UC-10 - Streetwear (Màu: purple, Size: M)",Everyday,M,purple,9091.34
546,SaigonFlex UC-11,Streetwear,16066.12,"SaigonFlex UC-11 - Streetwear (Màu: green, Size: L)",Everyday,L,green,13338.09
547,SaigonFlex UC-12,Streetwear,6544.42,"SaigonFlex UC-12 - Streetwear (Màu: silver, Size: XL)",Everyday,XL,silver,4298.38
548,SaigonFlex UC-13,Streetwear,6163.41,"SaigonFlex UC-13 - Streetwear (Màu: pink, Size: S)",Everyday,S,pink,4883.89
549,SaigonFlex UC-14,Streetwear,6655.75,"SaigonFlex UC-14 - Streetwear (Màu: yellow, Size: M)",Everyday,M,yellow,5205.46
550,SaigonFlex UC-15,Streetwear,5184.62,"SaigonFlex UC-15 - Streetwear (Màu: red, Size: L)",Everyday,L,red,3404.74
551,SaigonFlex UC-16,Streetwear,11245.41,"SaigonFlex UC-16 - Streetwear (Màu: black, Size: XL)",Everyday,XL,black,10683.14
552,SaigonFlex UC-17,Streetwear,11588.85,"SaigonFlex UC-17 - Streetwear (Màu: orange, Size: S)",Everyday,S,orange,11009.41
553,SaigonFlex UC-18,Streetwear,11516.62,"SaigonFlex UC-18 - Streetwear (Màu: blue, Size: M)",Everyday,M,blue,9748.82
554,SaigonFlex UC-19,Streetwear,10501.45,"SaigonFlex UC-19 - Streetwear (Màu: white, Size: L)",Everyday,L,white,6426.89
555,SaigonFlex UC-20,Streetwear,10520.48,"SaigonFlex UC-20 - Streetwear (Màu: purple, Size: XL)",Everyday,XL,purple,9994.46
556,SaigonFlex UC-21,Streetwear,10268.64,"SaigonFlex UC-21 - Streetwear (Màu: green, Size: S)",Everyday,S,green,9686.41
557,SaigonFlex UC-22,Streetwear,10090.44,"SaigonFlex UC-22 - Streetwear (Màu: silver, Size: M)",Everyday,M,silver,7554.71
558,SaigonFlex UC-23,Streetwear,18269.37,"SaigonFlex UC-23 - Streetwear (Màu: pink, Size: L)",Everyday,L,pink,14094.82
559,SaigonFlex UC-24,Streetwear,7658.99,"SaigonFlex UC-24 - Streetwear (Màu: yellow, Size: XL)",Everyday,XL,yellow,6569.11
560,SaigonFlex UC-25,Streetwear,8428.27,"SaigonFlex UC-25 - Streetwear (Màu: red, Size: S)",Everyday,S,red,7354.51
561,SaigonFlex UC-26,Streetwear,8951.67,"SaigonFlex UC-26 - Streetwear (Màu: black, Size: M)",Everyday,M,black,7753.94
562,SaigonFlex UC-27,Streetwear,11109.75,"SaigonFlex UC-27 - Streetwear (Màu: orange, Size: L)",Everyday,L,orange,10554.26
563,SaigonFlex UC-28,Streetwear,9445.09,"SaigonFlex UC-28 - Streetwear (Màu: blue, Size: XL)",Everyday,XL,blue,8972.84
564,SaigonFlex UC-29,Streetwear,11503.8,"SaigonFlex UC-29 - Streetwear (Màu: white, Size: S)",Everyday,S,white,7876.65
565,SaigonFlex UC-30,Streetwear,10752.79,"SaigonFlex UC-30 - Streetwear (Màu: purple, Size: M)",Everyday,M,purple,9051.7
566,SaigonFlex UC-31,Streetwear,11783.94,"SaigonFlex UC-31 - Streetwear (Màu: green, Size: L)",Everyday,L,green,9612.16
567,SaigonFlex UC-32,Streetwear,10134.78,"SaigonFlex UC-32 - Streetwear (Màu: silver, Size: XL)",Everyday,XL,silver,8711.85
568,SaigonFlex UC-33,Streetwear,10532.7,"SaigonFlex UC-33 - Streetwear (Màu: pink, Size: S)",Everyday,S,pink,7628.83
569,SaigonFlex UC-34,Streetwear,12601.62,"SaigonFlex UC-34 - Streetwear (Màu: yellow, Size: M)",Everyday,M,yellow,11971.54
570,SaigonFlex UC-35,Streetwear,6934.76,"SaigonFlex UC-35 - Streetwear (Màu: red, Size: L)",Everyday,L,red,6364.03
571,SaigonFlex UC-36,Streetwear,6325.2,"SaigonFlex UC-36 - Streetwear (Màu: black, Size: XL)",Everyday,XL,black,6008.94
572,SaigonFlex UC-37,Streetwear,5428.18,"SaigonFlex UC-37 - Streetwear (Màu: orange, Size: S)",Everyday,S,orange,5156.77
573,SaigonFlex UC-38,Streetwear,3743.69,"SaigonFlex UC-38 - Streetwear (Màu: blue, Size: M)",Everyday,M,blue,2813.76
574,SaigonFlex UC-39,Streetwear,10912.66,"SaigonFlex UC-39 - Streetwear (Màu: white, Size: L)",Everyday,L,white,10134.59
575,SaigonFlex UC-40,Streetwear,11157.96,"SaigonFlex UC-40 - Streetwear (Màu: purple, Size: XL)",Everyday,XL,purple,10600.06
576,SaigonFlex UC-41,Streetwear,18775.84,"SaigonFlex UC-41 - Streetwear (Màu: green, Size: S)",Everyday,S,green,12572.3
577,SaigonFlex UC-42,Streetwear,12288.26,"SaigonFlex UC-42 - Streetwear (Màu: silver, Size: M)",Everyday,M,silver,9234.63
578,SaigonFlex UC-43,Streetwear,9414.21,"SaigonFlex UC-43 - Streetwear (Màu: pink, Size: L)",Everyday,L,pink,6648.32
579,SaigonFlex UC-44,Streetwear,15941.11,"SaigonFlex UC-44 - Streetwear (Màu: yellow, Size: XL)",Everyday,XL,yellow,14039.33
580,SaigonFlex UC-45,Streetwear,9901.55,"SaigonFlex UC-45 - Streetwear (Màu: red, Size: S)",Everyday,S,red,9406.47
581,SaigonFlex UC-46,Streetwear,16696.35,"SaigonFlex UC-46 - Streetwear (Màu: black, Size: M)",Everyday,M,black,14125.11
582,SaigonFlex UC-47,Streetwear,4283.7,"SaigonFlex UC-47 - Streetwear (Màu: orange, Size: L)",Everyday,L,orange,3193.5
583,SaigonFlex UC-48,Streetwear,6610.57,"SaigonFlex UC-48 - Streetwear (Màu: blue, Size: XL)",Everyday,XL,blue,4418.51
584,SaigonFlex UC-49,Streetwear,7436.31,"SaigonFlex UC-49 - Streetwear (Màu: white, Size: S)",Everyday,S,white,4666.29
585,SaigonFlex UC-50,Streetwear,5044.25,"SaigonFlex UC-50 - Streetwear (Màu: purple, Size: M)",Everyday,M,purple,4792.04
586,SaigonFlex UC-51,Streetwear,4552.69,"SaigonFlex UC-51 - Streetwear (Màu: green, Size: L)",Everyday,L,green,4325.05
587,SaigonFlex UC-52,Streetwear,31.33,"SaigonFlex UC-52 - Streetwear (Màu: silver, Size: XL)",Everyday,XL,silver,19.58
588,SaigonFlex UC-53,Streetwear,7437.17,"SaigonFlex UC-53 - Streetwear (Màu: pink, Size: S)",Everyday,S,pink,6317.87
589,SaigonFlex UC-54,Streetwear,10207.29,"SaigonFlex UC-54 - Streetwear (Màu: yellow, Size: M)",Everyday,M,yellow,7250.24
590,SaigonFlex UC-55,Streetwear,10658.33,"SaigonFlex UC-55 - Streetwear (Màu: red, Size: L)",Everyday,L,red,10125.42
591,SaigonFlex UC-56,Streetwear,11048.62,"SaigonFlex UC-56 - Streetwear (Màu: black, Size: XL)",Everyday,XL,black,10496.19
592,SaigonFlex UC-57,Streetwear,11573.64,"SaigonFlex UC-57 - Streetwear (Màu: orange, Size: S)",Everyday,S,orange,7346.95
593,SaigonFlex UC-58,Streetwear,10942.19,"SaigonFlex UC-58 - Streetwear (Màu: blue, Size: M)",Everyday,M,blue,8946.34
594,SaigonFlex UC-59,Streetwear,42.91,"SaigonFlex UC-59 - Streetwear (Màu: white, Size: L)",Everyday,L,white,24.5
595,SaigonFlex UC-60,Streetwear,8975.73,"SaigonFlex UC-60 - Streetwear (Màu: purple, Size: XL)",Everyday,XL,purple,5284.91
596,SaigonFlex UC-61,Streetwear,9577.15,"SaigonFlex UC-61 - Streetwear (Màu: green, Size: S)",Everyday,S,green,5842.06
597,SaigonFlex UC-62,Streetwear,60.9,"SaigonFlex UC-62 - Streetwear (Màu: silver, Size: M)",Everyday,M,silver,38.96
598,SaigonFlex UC-63,Streetwear,11489.45,"SaigonFlex UC-63 - Streetwear (Màu: pink, Size: L)",Everyday,L,pink,7924.28
599,SaigonFlex UC-64,Streetwear,10648.86,"SaigonFlex UC-64 - Streetwear (Màu: yellow, Size: XL)",Everyday,XL,yellow,10116.41
600,SaigonFlex UC-65,Streetwear,9148.35,"SaigonFlex UC-65 - Streetwear (Màu: red, Size: S)",Everyday,S,red,4647.36
601,SaigonFlex UC-66,Streetwear,15754.5,"SaigonFlex UC-66 - Streetwear (Màu: black, Size: M)",Everyday,M,black,14966.77
602,SaigonFlex UC-67,Streetwear,15756.27,"SaigonFlex UC-67 - Streetwear (Màu: orange, Size: L)",Everyday,L,orange,11752.6
603,SaigonFlex UC-68,Streetwear,11026.34,"SaigonFlex UC-68 - Streetwear (Màu: blue, Size: XL)",Everyday,XL,blue,8163.9
604,SaigonFlex UC-69,Streetwear,6135.3,"SaigonFlex UC-69 - Streetwear (Màu: white, Size: S)",Everyday,S,white,4141.94
605,SaigonFlex UC-70,Streetwear,4940.96,"SaigonFlex UC-70 - Streetwear (Màu: purple, Size: M)",Everyday,M,purple,3748.21
606,SaigonFlex UC-71,Streetwear,4042.85,"SaigonFlex UC-71 - Streetwear (Màu: green, Size: L)",Everyday,L,green,3552.46
607,SaigonFlex UC-72,Streetwear,11408.04,"SaigonFlex UC-72 - Streetwear (Màu: silver, Size: XL)",Everyday,XL,silver,7676.47
608,SaigonFlex UC-73,Streetwear,11699.1,"SaigonFlex UC-73 - Streetwear (Màu: pink, Size: S)",Everyday,S,pink,11114.14
609,SaigonFlex UC-74,Streetwear,10426.57,"SaigonFlex UC-74 - Streetwear (Màu: yellow, Size: M)",Everyday,M,yellow,8987.7
610,SaigonFlex UC-75,Streetwear,11122.51,"SaigonFlex UC-75 - Streetwear (Màu: red, Size: L)",Everyday,L,red,9587.6
611,SaigonFlex UC-76,Streetwear,17959.96,"SaigonFlex UC-76 - Streetwear (Màu: black, Size: XL)",Everyday,XL,black,12395.96
612,SaigonFlex UC-77,Streetwear,11727.45,"SaigonFlex UC-77 - Streetwear (Màu: orange, Size: S)",Everyday,S,orange,7625.19
613,SaigonFlex UC-78,Streetwear,30.15,"SaigonFlex UC-78 - Streetwear (Màu: blue, Size: M)",Everyday,M,blue,17.2
614,SaigonFlex UC-79,Streetwear,8263.49,"SaigonFlex UC-79 - Streetwear (Màu: white, Size: L)",Everyday,L,white,6609.14
615,SaigonFlex UC-80,Streetwear,8328.97,"SaigonFlex UC-80 - Streetwear (Màu: purple, Size: XL)",Everyday,XL,purple,4873.28
616,SaigonFlex UC-81,Streetwear,8545.56,"SaigonFlex UC-81 - Streetwear (Màu: green, Size: S)",Everyday,S,green,7898.66
617,SaigonFlex UC-82,Streetwear,10151.26,"SaigonFlex UC-82 - Streetwear (Màu: silver, Size: M)",Everyday,M,silver,6680.55
618,SaigonFlex UC-83,Streetwear,14262.41,"SaigonFlex UC-83 - Streetwear (Màu: pink, Size: L)",Everyday,L,pink,13549.29
619,SaigonFlex UC-84,Streetwear,11336.85,"SaigonFlex UC-84 - Streetwear (Màu: yellow, Size: XL)",Everyday,XL,yellow,6509.62
620,SaigonFlex UC-85,Streetwear,30.15,"SaigonFlex UC-85 - Streetwear (Màu: red, Size: S)",Everyday,S,red,17.16
621,SaigonFlex UC-86,Streetwear,62.28,"SaigonFlex UC-86 - Streetwear (Màu: black, Size: M)",Everyday,M,black,34.48
622,SaigonFlex UC-87,Streetwear,9946.84,"SaigonFlex UC-87 - Streetwear (Màu: orange, Size: L)",Everyday,L,orange,7374.59
623,SaigonFlex UC-88,Streetwear,17011.96,"SaigonFlex UC-88 - Streetwear (Màu: blue, Size: XL)",Everyday,XL,blue,9844.82
624,SaigonFlex UC-89,Streetwear,45.01,"SaigonFlex UC-89 - Streetwear (Màu: white, Size: S)",Everyday,S,white,26.88
625,SaigonFlex UC-90,Streetwear,16075.5,"SaigonFlex UC-90 - Streetwear (Màu: purple, Size: M)",Everyday,M,purple,8733.82
626,SaigonFlex UC-91,Streetwear,17013.9,"SaigonFlex UC-91 - Streetwear (Màu: green, Size: L)",Everyday,L,green,16163.2
627,SaigonFlex UC-92,Streetwear,11006.55,"SaigonFlex UC-92 - Streetwear (Màu: silver, Size: XL)",Everyday,XL,silver,7708.99
628,SaigonFlex UC-93,Streetwear,11516.4,"SaigonFlex UC-93 - Streetwear (Màu: pink, Size: S)",Everyday,S,pink,9278.76
629,SaigonFlex UC-94,Streetwear,9968.7,"SaigonFlex UC-94 - Streetwear (Màu: yellow, Size: M)",Everyday,M,yellow,9470.26
630,SaigonFlex UC-95,Streetwear,6176.85,"SaigonFlex UC-95 - Streetwear (Màu: red, Size: L)",Everyday,L,red,3866.09
631,SaigonFlex UC-96,Streetwear,4677.02,"SaigonFlex UC-96 - Streetwear (Màu: black, Size: XL)",Everyday,XL,black,4443.17
632,SaigonFlex UC-97,Streetwear,4844.7,"SaigonFlex UC-97 - Streetwear (Màu: orange, Size: S)",Everyday,S,orange,2618.08
633,SaigonFlex UC-98,Streetwear,6803.8,"SaigonFlex UC-98 - Streetwear (Màu: blue, Size: M)",Everyday,M,blue,3769.31
634,SaigonFlex UC-99,Streetwear,10788.27,"SaigonFlex UC-99 - Streetwear (Màu: white, Size: L)",Everyday,L,white,6005.83
635,SaigonFlex UC-00,Streetwear,10745.22,"SaigonFlex UC-00 - Streetwear (Màu: purple, Size: XL)",Everyday,XL,purple,9205.43
